시도명,시군구명,위도,경도,보행자신호등유무,보도턱낮춤여부,점자블록유무
경기도,여주시,37.23753758,127.5283052,N,N,N
경기도,여주시,37.23889864,127.5283749,N,N,N
경기도,여주시,37.24057628,127.5292361,N,N,N
경기도,여주시,37.24108259,127.5282051,N,N,N
경기도,여주시,37.19840609,127.5408914,N,Y,Y
경기도,여주시,37.20416146,127.5437179,N,Y,Y
경기도,여주시,37.20401739,127.5427902,N,Y,Y
경기도,여주시,37.20467949,127.5391655,N,Y,Y
경기도,여주시,37.2037278,127.5347217,N,Y,Y
경기도,여주시,37.23959474,127.5790468,N,Y,N
경기도,여주시,37.23332064,127.5696977,Y,Y,Y
경기도,여주시,37.25483898,127.5425592,N,Y,N
경기도,여주시,37.25973411,127.5452608,N,Y,N
경기도,여주시,37.26350156,127.5418919,N,Y,N
경기도,여주시,37.26935791,127.5447263,N,N,N
경기도,여주시,37.27192252,127.5454637,N,N,N
경기도,여주시,37.27580507,127.545177,N,N,N
경기도,여주시,37.25483898,127.5425592,N,Y,N
경기도,여주시,37.25973411,127.5452608,N,Y,N
경기도,여주시,37.26412136,127.5417574,N,Y,N
경기도,여주시,37.26935791,127.5447263,N,N,N
경기도,여주시,37.27192252,127.5454637,N,N,N
경기도,여주시,37.27580507,127.545177,N,N,N
강원도,동해시,37.479992,129.154997,N,Y,Y
강원도,동해시,37.484271,129.103385,N,Y,Y
강원도,동해시,37.484155,129.103398,N,Y,Y
강원도,동해시,37.484162,129.103037,N,Y,Y
강원도,동해시,37.484132,129.103217,Y,Y,Y
강원도,동해시,37.484005,129.103376,Y,Y,Y
강원도,동해시,37.486212,129.108287,Y,Y,N
강원도,동해시,37.486116,129.108157,Y,Y,N
강원도,동해시,37.486116,129.108411,Y,Y,N
강원도,동해시,37.486038,129.108265,N,Y,N
강원도,동해시,37.486132,129.105168,N,Y,Y
강원도,동해시,37.486126,129.106341,N,Y,Y
강원도,동해시,37.486199,129.106469,N,Y,N
강원도,동해시,37.486047,129.106466,N,Y,N
강원도,동해시,37.482458,129.090468,N,N,N
강원도,동해시,37.487125,129.108301,N,N,N
강원도,동해시,37.489105,129.108241,N,Y,N
강원도,동해시,37.488786,129.108228,N,Y,N
강원도,동해시,37.488338,129.108306,N,N,N
강원도,동해시,37.487704,129.108303,N,N,N
강원도,동해시,37.473166,129.109654,N,N,N
강원도,동해시,37.475521,129.110041,N,Y,N
강원도,동해시,37.479853,129.109658,Y,Y,N
강원도,동해시,37.479726,129.109489,Y,Y,N
강원도,동해시,37.478884,129.109492,N,Y,N
강원도,동해시,37.478958,129.109611,N,Y,N
강원도,동해시,37.479863,129.107094,N,N,N
강원도,동해시,37.479845,129.103035,Y,Y,Y
강원도,동해시,37.479951,129.103021,N,Y,Y
강원도,동해시,37.479935,129.103177,Y,Y,Y
강원도,동해시,37.489662,129.121672,N,Y,Y
강원도,동해시,37.487111,129.119367,N,Y,Y
강원도,동해시,37.486992,129.119329,Y,Y,Y
강원도,동해시,37.486906,129.119246,N,Y,Y
강원도,동해시,37.487511,129.118197,N,Y,Y
강원도,동해시,37.487706,129.118126,N,Y,Y
강원도,동해시,37.490572,129.121046,N,Y,Y
강원도,동해시,37.490712,129.121111,Y,Y,Y
강원도,동해시,37.490751,129.120879,Y,Y,Y
강원도,동해시,37.490882,129.120943,Y,Y,Y
강원도,동해시,37.490774,129.121415,N,Y,Y
강원도,동해시,37.490884,129.121183,Y,Y,Y
강원도,동해시,37.491028,129.121172,N,Y,Y
강원도,동해시,37.490865,129.120711,N,Y,Y
강원도,동해시,37.556781,129.103001,N,Y,Y
강원도,동해시,37.556576,129.103662,N,Y,N
강원도,동해시,37.556661,129.102978,N,Y,Y
강원도,동해시,37.473244,129.117732,N,N,N
강원도,동해시,37.479692,129.095442,N,Y,Y
강원도,동해시,37.479658,129.093687,N,Y,Y
강원도,동해시,37.480575,129.153951,N,Y,Y
강원도,동해시,37.485721,129.148308,N,Y,Y
강원도,동해시,37.485714,129.148731,N,Y,Y
강원도,동해시,37.480719,129.148221,N,Y,Y
강원도,동해시,37.480478,129.147762,N,Y,Y
강원도,동해시,37.480199,129.140251,Y,Y,Y
강원도,동해시,37.480501,129.140348,Y,Y,Y
강원도,동해시,37.480435,129.140723,Y,Y,Y
강원도,동해시,37.481401,129.142331,N,Y,Y
강원도,동해시,37.482188,129.144136,N,Y,Y
강원도,동해시,37.557215,129.104407,Y,Y,Y
강원도,동해시,37.557022,129.104246,N,Y,Y
강원도,동해시,37.557076,129.104285,N,Y,N
강원도,동해시,37.556527,129.104522,N,Y,Y
강원도,동해시,37.555672,129.104447,N,Y,Y
강원도,동해시,37.558636,129.109312,N,N,N
강원도,동해시,37.558545,129.109498,N,N,N
강원도,동해시,37.554981,129.103603,N,Y,Y
강원도,동해시,37.554201,129.104858,N,Y,Y
강원도,동해시,37.551521,129.104894,N,Y,Y
강원도,동해시,37.550737,129.103141,N,Y,Y
강원도,동해시,37.552989,129.105384,N,Y,Y
강원도,동해시,37.552165,129.105741,N,Y,Y
강원도,동해시,37.551881,129.105311,Y,Y,Y
강원도,동해시,37.551851,129.105463,Y,Y,Y
강원도,동해시,37.551697,129.105278,Y,Y,Y
강원도,동해시,37.551597,129.105348,N,Y,Y
강원도,동해시,37.551692,129.105451,Y,Y,Y
강원도,동해시,37.550986,129.105974,N,Y,N
강원도,동해시,37.551951,129.105711,N,Y,N
강원도,동해시,37.551235,129.106568,N,Y,Y
강원도,동해시,37.550296,129.109692,N,Y,N
강원도,동해시,37.477062,129.127381,N,Y,N
강원도,동해시,37.476733,129.131896,Y,Y,Y
강원도,동해시,37.479768,129.127337,N,N,N
강원도,동해시,37.489396,129.121866,N,Y,Y
강원도,동해시,37.487721,129.123251,Y,Y,Y
강원도,동해시,37.487878,129.122954,Y,Y,N
강원도,동해시,37.489512,129.121986,Y,N,N
강원도,동해시,37.489556,129.121776,N,Y,Y
경기도,여주시,37.28430117,127.6969706,N,N,N
경기도,여주시,37.28295098,127.7006088,N,N,N
경기도,여주시,37.28315521,127.7003603,N,N,N
경기도,여주시,37.27449111,127.7105332,N,Y,N
