시도명,시군구명,위도,경도,보행자신호등유무,보도턱낮춤여부,점자블록유무
경기도,남양주시,37.608751,127.169763,Y,Y,Y
경기도,남양주시,37.608751,127.169763,Y,Y,Y
경기도,남양주시,37.608751,127.169763,Y,Y,Y
경기도,남양주시,37.608751,127.169763,Y,Y,Y
경기도,남양주시,37.608751,127.169763,Y,Y,Y
경기도,남양주시,37.608751,127.169763,Y,Y,Y
경기도,남양주시,37.610014,127.169145,Y,Y,Y
경기도,남양주시,37.607612,127.170468,Y,Y,Y
경기도,남양주시,37.608085,127.172761,Y,Y,Y
경기도,남양주시,37.607711,127.171202,Y,Y,Y
충청남도,천안시,36.84173512,127.1284096,Y,Y,Y
충청남도,천안시,36.8415521,127.1281912,Y,Y,Y
충청남도,천안시,36.84385488,127.1261029,Y,Y,Y
충청남도,천안시,36.84371136,127.125907,Y,Y,Y
경기도,남양주시,37.613412,127.173154,Y,Y,Y
경기도,남양주시,37.612602,127.171889,Y,Y,Y
경기도,남양주시,37.612721,127.171911,Y,Y,Y
경기도,남양주시,37.610036,127.165764,Y,Y,Y
경기도,남양주시,37.610739,127.167335,Y,Y,Y
경기도,남양주시,37.612608,127.171738,Y,Y,Y
경기도,남양주시,37.611885,127.170203,Y,Y,Y
경기도,남양주시,37.611462,127.169017,Y,Y,Y
경기도,남양주시,37.611396,127.168872,Y,Y,Y
경기도,남양주시,37.610452,127.166349,Y,Y,Y
경기도,남양주시,37.612627,127.171726,Y,Y,Y
경기도,남양주시,37.611986,127.170093,Y,Y,Y
경기도,남양주시,37.611469,127.169014,Y,Y,Y
경기도,남양주시,37.611435,127.169847,Y,Y,Y
경기도,남양주시,37.611735,127.169351,Y,Y,Y
경기도,남양주시,37.609983,127.164927,Y,Y,Y
경기도,남양주시,37.609801,127.163886,Y,Y,Y
경기도,남양주시,37.611831,127.170205,Y,Y,Y
경기도,남양주시,37.613646,127.173138,Y,Y,Y
경기도,남양주시,37.611339,127.168999,Y,Y,Y
경기도,남양주시,37.607285,127.168943,Y,Y,Y
경기도,남양주시,37.607285,127.168943,Y,Y,Y
경기도,남양주시,37.607285,127.168943,Y,Y,Y
경기도,남양주시,37.613874,127.156371,Y,Y,Y
경기도,남양주시,37.615221,127.155384,Y,Y,Y
경기도,남양주시,37.615304,127.155218,Y,Y,Y
경기도,남양주시,37.615217,127.155289,Y,Y,Y
경기도,남양주시,37.613864,127.156366,Y,Y,Y
경기도,남양주시,37.615716,127.156205,Y,Y,Y
경기도,남양주시,37.616181,127.158095,Y,Y,Y
경기도,남양주시,37.615647,127.156187,Y,Y,Y
경기도,남양주시,37.613847,127.156449,Y,Y,Y
경기도,남양주시,37.614253,127.157236,Y,Y,Y
경기도,남양주시,37.614912,127.157971,Y,Y,Y
경기도,남양주시,37.613852,127.156457,Y,Y,Y
경기도,남양주시,37.614218,127.157253,Y,Y,Y
경기도,남양주시,37.614903,127.157955,Y,Y,Y
경기도,남양주시,37.614233,127.166569,Y,Y,Y
경기도,남양주시,37.614261,127.166588,Y,Y,Y
경기도,남양주시,37.613031,127.168102,Y,Y,Y
