,시도명,보조시설유무
289,대전광역시,Z
290,대전광역시,Z
291,대전광역시,Z
292,대전광역시,Z
293,대전광역시,Z
294,대전광역시,Z
295,대전광역시,Z
296,대전광역시,Z
297,대전광역시,Z
298,대전광역시,Z
299,대전광역시,Z
300,대전광역시,Z
301,대전광역시,Z
302,대전광역시,Z
303,대전광역시,Z
304,대전광역시,Z
305,대전광역시,Z
306,대전광역시,Z
307,대전광역시,Z
308,대전광역시,Z
309,대전광역시,Z
310,대전광역시,Z
311,대전광역시,Z
312,대전광역시,Z
313,대전광역시,Z
314,대전광역시,Z
315,대전광역시,Z
316,대전광역시,Z
317,대전광역시,Z
318,대전광역시,Z
319,대전광역시,Z
320,대전광역시,Z
321,대전광역시,Z
322,대전광역시,Z
323,대전광역시,Z
324,대전광역시,Z
325,대전광역시,Z
326,대전광역시,Z
327,대전광역시,Z
328,대전광역시,Z
329,대전광역시,Z
330,대전광역시,Z
331,대전광역시,Z
332,대전광역시,Z
333,대전광역시,Z
334,대전광역시,Z
335,대전광역시,Z
336,대전광역시,Z
337,대전광역시,Z
338,대전광역시,Z
339,대전광역시,Z
340,대전광역시,Z
341,대전광역시,Z
342,대전광역시,Z
343,대전광역시,Z
344,대전광역시,Z
345,대전광역시,Z
346,대전광역시,Z
347,대전광역시,Z
348,대전광역시,Z
349,대전광역시,Z
350,대전광역시,Z
351,대전광역시,Z
352,대전광역시,Z
353,대전광역시,Z
354,대전광역시,Z
355,대전광역시,Z
356,대전광역시,Z
357,대전광역시,Z
358,대전광역시,Z
359,대전광역시,Z
360,대전광역시,Z
361,대전광역시,Z
362,대전광역시,Z
363,대전광역시,Z
364,대전광역시,Z
365,대전광역시,Z
366,대전광역시,Z
367,대전광역시,Z
368,대전광역시,Z
369,대전광역시,Z
370,대전광역시,Z
371,대전광역시,Z
372,대전광역시,Z
373,대전광역시,Z
374,대전광역시,Z
375,대전광역시,Z
376,대전광역시,Z
377,대전광역시,Z
378,대전광역시,Z
379,대전광역시,Z
380,대전광역시,Z
381,대전광역시,Z
382,대전광역시,Z
383,대전광역시,Z
384,대전광역시,Z
385,대전광역시,Z
386,대전광역시,Z
387,대전광역시,Z
388,대전광역시,Z
389,대전광역시,Z
390,대전광역시,Z
391,대전광역시,Z
392,대전광역시,Z
393,대전광역시,Z
394,대전광역시,Z
395,대전광역시,Z
396,대전광역시,Z
397,대전광역시,Z
398,대전광역시,Z
399,대전광역시,Z
400,대전광역시,Z
401,대전광역시,Z
402,대전광역시,Z
403,대전광역시,Z
404,대전광역시,Z
405,대전광역시,Z
406,대전광역시,Z
407,대전광역시,Z
408,대전광역시,Z
409,대전광역시,Z
410,대전광역시,Z
411,대전광역시,Z
412,대전광역시,Z
413,대전광역시,Z
414,대전광역시,Z
415,대전광역시,Z
416,대전광역시,Z
417,대전광역시,Z
418,대전광역시,Z
419,대전광역시,Z
420,대전광역시,Z
421,대전광역시,Z
422,대전광역시,Z
423,대전광역시,Z
424,대전광역시,Z
425,대전광역시,Z
426,대전광역시,Z
427,대전광역시,Z
428,대전광역시,Z
429,대전광역시,Z
430,대전광역시,Z
431,대전광역시,Z
432,대전광역시,Z
433,대전광역시,Z
434,대전광역시,Z
435,대전광역시,Z
436,대전광역시,Z
437,대전광역시,Z
438,대전광역시,Z
439,대전광역시,Z
440,대전광역시,Z
441,대전광역시,Z
442,대전광역시,Z
443,대전광역시,Z
444,대전광역시,Z
445,대전광역시,Z
446,대전광역시,Z
447,대전광역시,Z
448,대전광역시,Z
449,대전광역시,Z
450,대전광역시,Z
451,대전광역시,Z
452,대전광역시,Z
453,대전광역시,Z
454,대전광역시,Z
455,대전광역시,Z
456,대전광역시,Z
457,대전광역시,Z
458,대전광역시,Z
459,대전광역시,Z
460,대전광역시,Z
461,대전광역시,Z
462,대전광역시,Z
463,대전광역시,Z
464,대전광역시,Z
465,대전광역시,Z
466,대전광역시,Z
467,대전광역시,Z
468,대전광역시,Z
469,대전광역시,Z
470,대전광역시,Z
471,대전광역시,Z
472,대전광역시,Z
473,대전광역시,Z
474,대전광역시,Z
475,대전광역시,Z
476,대전광역시,Z
477,대전광역시,Z
478,대전광역시,Z
479,대전광역시,Z
480,대전광역시,Z
481,대전광역시,Z
482,대전광역시,Z
483,대전광역시,Z
484,대전광역시,Z
485,대전광역시,Z
486,대전광역시,Z
487,대전광역시,Z
488,대전광역시,Z
489,대전광역시,Z
490,대전광역시,Z
491,대전광역시,Z
