시도,시군구,위도,경도,보유차량대수,슬로프형휠체어차량대수,리프트형휠체어차량대수,일반차량대수
충청북도,옥천군,36.30692008,127.5642376,8,8,8,-8
제주특별자치도,제주시,33.47976965,126.4736511,68,67,1,0
전라북도,진안군,35.790572,127.4251603464,3,3,0,0
전라북도,남원시,35.40341851,127.377408,9,9,0,0
전라북도,군산시,35.97302347,126.684383,26,26,0,0
경상북도,영주시,36.8270932,128.6235929,8,8,0,0
경상남도,창원시,35.2396723,128.6475949,369,207,162,0
경기도,포천시,37.89623177,127.211078,23,23,0,0
강원도,철원군,38.20394617,127.2201917,7,7,0,0
경상남도,창원시,35.234007,128.664735,110,96,14,0
강원도,양구군,38.1087485207,127.9864048749,2,0,0,2
강원도,고성군,38.37818193,128.4988401,3,3,0,0
강원도,강릉시,37.76923243,128.9298548,16,9,7,0
충청남도,예산군,36.6947127553,126.8353690422,7,7,0,0
전라북도,임실군,35.61026512,127.283295,3,0,4,-1
인천광역시,미추홀구,37.4365452,126.6864606,193,165,28,0
전라남도,목포시,34.80554093,126.4042502,21,19,2,0
경상남도,진주시,35.1642235,128.0651561,17,17,0,0
경상남도,진주시,35.18727147,128.1119228,17,17,0,0
경기도,안양시,37.40629131,126.9487366,38,38,0,0
충청북도,음성군,36.99372848,127.6042954,7,7,0,0
충청북도,제천시,37.171529,128.242342,13,12,0,1
경상북도,영양군,36.66192436,129.1186857,4,0,4,0
경상북도,경주시,35.8444091402,129.201709,21,21,0,0
경기도,화성시,37.13752921,126.9242565,58,58,0,0
강원도,동해시,37.49705665,129.1266705,9,8,1,0
경상북도,영천시,35.957177,128.932791,7,0,7,0
경기도,안산시,37.31947602,126.8164939,60,60,0,0
충청남도,부여군,36.27331214,126.8712172,4,4,0,0
전라남도,함평군,35.07582913,126.512894,4,4,0,0
강원도,춘천시,37.8800729197,127.7279078203,33,28,5,0
강원도,영월군,37.185347,128.467917,7,7,0,0
대구광역시,달서구,35.83004237,128.528337,1,1,0,0
경상북도,봉화군,36.89365762,128.737331,5,5,0,0
경기도,여주시,37.29737726,127.6358905,21,18,1,2
경기도,성남시,37.44407384,127.1785358,80,80,0,0
경기도,광주시,37.40998092,127.2653231,24,19,5,0
경상북도,구미시,36.12375,128.332153,19,19,0,0
경상남도,의령군,35.315489,128.255951,4,4,0,0
경상북도,예천군,36.649653,128.441283,6,6,0,0
경상북도,문경시,36.5871278,128.1940527,8,8,0,0
경상남도,함안군,35.27505859,128.4105797,9,7,2,0
충청북도,진천군,36.8610976,127.439492,6,5,1,0
전라남도,목포시,34.7844599549,126.3849637813,4,4,0,0
전라남도,장성군,35.30199904,126.7813166,4,4,0,0
경기도,연천군,38.02902948,127.0661008,13,13,0,0
강원도,정선군,37.38230943,128.673439,5,5,0,0
경상남도,합천군,35.56841416,128.1569121,8,7,1,0
충청북도,증평군,36.78404788,127.5848022,2,2,0,0
경상남도,산청군,35.413607,127.886574,7,7,0,0
경상남도,거창군,35.68667584,127.9095332,9,7,2,0
경상북도,의성군,36.3594974,128.6801537,4,4,0,0
경기도,이천시,37.27462146,127.4442088,26,26,0,0
강원도,평창군,37.65292724,128.5711924,6,6,0,0
경상북도,청송군,36.43511571,129.0614924,2,2,0,0
경상북도,청도군,35.67096686,128.7394066,4,4,0,0
