,시도,시군구,육교명,엘리베이터,경사로,점자블럭,리프트,턱,핸드레일,위도,경도,보조시설유무
342,세종특별자치시,조치원읍,수원지 앞 육교,N,N,N,N,N,N,36.60619933,127.3009694,Z
343,세종특별자치시,조치원읍,욱일APT 앞 육교,Y,N,N,N,N,N,36.60293108,127.2941813,A
344,세종특별자치시,전의면,전의역 앞 육교,N,N,N,N,N,N,36.67836829,127.2036578,Z
345,세종특별자치시,고운동,온빛 초 육교,Y,N,N,N,N,N,36.51462797,127.2403716,A
346,세종특별자치시,한솔동,미르 초 육교,Y,N,N,N,N,N,36.47313162,127.2544816,A
347,세종특별자치시,아름동,나래초보행교,Y,N,N,N,N,N,36.5090014,127.2463514,A
348,세종특별자치시,조치원읍,가득초육교,Y,N,N,N,N,N,36.48771564,127.2432312,A
349,충청남도,계룡시,엄사육교,N,Y,N,N,N,N,36.292687,127.242539,B
350,전라북도,김제시,검산육교,N,N,N,N,N,N,35.805464,126.898834,Z
351,광주광역시,동구,계림육교,N,N,N,N,N,N,35.16055204,126.9204748,Z
352,광주광역시,동구,남초교육교,N,N,N,N,N,N,35.126779,126.931509,Z
353,광주광역시,동구,도내기시장앞육교,N,N,N,N,N,N,35.145289,126.926855,Z
354,광주광역시,동구,계림제1육교,N,N,N,N,N,N,35.163729,126.919445,Z
355,강원도,태백시,대림육교,N,Y,Y,N,N,N,37.16512595,128.9941157,TW
356,강원도,태백시,상장육교,N,Y,Y,N,N,N,37.15068648,128.9921156,TW
357,서울특별시,강북구,월계육교,N,N,N,N,N,N,37.61534047,127.0392407,Z
358,울산광역시,남구,성광여고육교,N,N,N,N,N,N,35.541517,129.264941,Z
359,울산광역시,동구,서부초교육교,N,N,N,N,N,N,35.525128,129.424415,Z
360,울산광역시,동구,녹수초교육교,N,N,N,N,N,N,35.530089,129.429991,Z
361,울산광역시,동구,청운여중육교,N,N,N,N,N,N,35.536263,129.429451,Z
362,울산광역시,중구,내황초교육교,N,Y,N,N,N,N,35.552009,129.348251,B
363,울산광역시,중구,우정교보행육교,Y,N,N,N,N,N,35.559841,129.292801,A
364,울산광역시,울주군,대복보도육교,N,N,N,N,N,N,35.480894,129.219207,Z
365,울산광역시,울주군,웅촌보도육교,N,N,N,N,N,N,35.463764,129.207837,Z
366,경상남도,남해군,소입현육교,Y,N,N,N,N,N,34.831094,127.905569,A
367,전라남도,영암군,육교,N,N,N,N,N,N,34.75510121,126.4746351,Z
368,서울특별시,양천구,능골,N,N,Y,N,N,N,37.52466465,126.8328723,C
369,서울특별시,양천구,당모래,N,N,Y,N,N,N,37.52683024,126.8449155,C
370,서울특별시,양천구,은빛,N,N,Y,N,N,N,37.52811368,126.854009,C
371,서울특별시,양천구,소망,N,N,Y,N,N,N,37.52870643,126.8581323,C
372,서울특별시,양천구,잣절,N,N,Y,N,N,N,37.50694702,126.8444474,C
373,서울특별시,양천구,신정기지,N,N,Y,N,N,N,37.52811368,126.854009,C
374,서울특별시,양천구,갈산,N,N,Y,N,N,N,37.51360041,126.8697042,C
375,서울특별시,양천구,신월IC,N,N,Y,N,N,N,37.525423,126.834818,C
376,서울특별시,양천구,금옥여고앞,N,N,Y,N,N,N,37.51096532,126.8439717,C
377,서울특별시,양천구,목동운동장앞,N,Y,Y,N,N,N,37.52813225,126.876521,TW
378,서울특별시,양천구,신정교앞,N,Y,Y,N,N,N,37.51722556,126.876469,TW
379,서울특별시,양천구,이대목동병원,N,Y,Y,N,N,N,37.53698185,126.8867439,TW
380,서울특별시,양천구,신은,N,Y,Y,N,N,N,37.51513262,126.8308648,TW
381,서울특별시,양천구,오금,N,N,Y,N,N,N,37.5082875,126.8645355,C
382,서울특별시,양천구,양원,N,N,Y,N,N,N,37.53821733,126.8231052,C
383,서울특별시,강남구,대도보도육교,Y,N,Y,N,N,N,37.4926466,127.0533774,TW
384,서울특별시,강남구,양전보도육교,N,N,Y,N,N,N,37.49028284,127.0694253,C
385,서울특별시,강남구,구름다리보도육교,Y,N,Y,N,N,N,37.4716355,127.0525917,TW
386,서울특별시,강남구,일원보도육교,N,Y,Y,N,N,N,37.48932458,127.082097,TW
