육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
이대목동병원,시도,,안양천로,서울특별시 양천구 안양천로 1071,37.53698185,126.8867439,40.0,6.0,,4.5,4.6,1.3,3.0,Y,점자블럭+경사로,2.0,없음,0.0,2009-02-01,N,양호,제한없음,일상유지보수,정밀안전진단,2022-07-14,서울특별시 양천구청,2022-08-08,3140000,서울특별시 양천구
신은,시도,,신월로,서울특별시 양천구 신정이펜2로 55,37.51513262,126.8308648,228.0,6.0,,4.5,4.3,1.3,4.0,Y,점자블럭+경사로,2.0,없음,0.0,2002-06-26,N,보통,제한없음,일상유지보수,정기점검,2022-06-30,서울특별시 양천구청,2022-08-08,3140000,서울특별시 양천구
대도보도육교,구도,,선릉로,서울특별시 강남구 선릉로 209,37.4926466,127.0533774,26.0,,,4.5,4.0,,,Y,엘리베이터+점자블럭,,,,2005-06-01,N,양호,제한없음,,정기점검,2021-12-17,서울특별시 강남구청,2022-08-11,3220000,서울특별시 강남구
양전보도육교,구도,,개포로,서울특별시 강남구 개포로 513,37.49028284,127.0694253,17.0,,,4.5,3.6,,,Y,점자블럭,,,,1989-10-01,N,보통,제한없음,,정기점검,2021-12-17,서울특별시 강남구청,2022-08-11,3220000,서울특별시 강남구
구름다리보도육교,시도,,양재대로,서울특별시 강남구 양재대로 340,37.4716355,127.0525917,41.0,,,4.5,4.3,,,Y,엘리베이터+점자블럭,,,,1996-07-01,N,보통,제한없음,,정기점검,2021-12-17,서울특별시 강남구청,2022-08-11,3220000,서울특별시 강남구
일원보도육교,시도,,양재대로,서울특별시 강남구 일원로9길 6,37.48932458,127.082097,45.0,,,4.5,3.0,,,Y,점자블럭+경사로,,,,1989-12-01,N,보통,제한없음,,정기점검,2021-12-17,서울특별시 강남구청,2022-08-11,3220000,서울특별시 강남구
양재보도육교,시도,,양재대로,서울특별시 강남구 양재대로 781,37.49328988,127.0951503,77.0,,,6.5,4.0,,,Y,엘리베이터+점자블럭,,,,2003-12-01,N,보통,제한없음,,정기점검,2021-12-17,서울특별시 강남구청,2022-08-11,3220000,서울특별시 강남구
양재천보도육교,구도,,양재천로,서울특별시 강남구 언주로30길 56,37.48806952,127.0534832,39.0,,,4.6,2.8,,,Y,엘리베이터+점자블럭,,,,2004-04-01,N,보통,제한없음,,정기점검,2021-12-17,서울특별시 강남구청,2022-08-11,3220000,서울특별시 강남구
말죽거리보도육교,시도,,남부순환로,서울특별시 강남구 남부순환로 2633,37.48536752,127.0377727,35.0,,,4.5,4.0,,,Y,엘리베이터+점자블럭,,,,1994-12-01,N,보통,제한없음,,정기점검,2021-12-17,서울특별시 강남구청,2022-08-11,3220000,서울특별시 강남구
일원탄천보도육교,시도,,남부순환로,,37.496697,127.088375,88.0,,,5.5,5.8,,,Y,점자블럭+경사로,,,,2010-09-08,N,보통,제한없음,,정기점검,2021-12-17,서울특별시 강남구청,2022-08-11,3220000,서울특별시 강남구
별내1육교(한별초등학교 앞 육교),시도,대로2-1호선,순화궁로,경기도 남양주시 별내3로 23,37.64480145,127.1176916,38.0,5.0,,5.0,,,,Y,점자블럭+경사로,,,,,Y,양호,제한없음,,정기점검,2022-06-15,경기도 남양주시청,2022-08-22,3990000,경기도 남양주시
별내2육교(신일 유토빌 앞 육교),시도,대로2-3호선,순화궁로,경기도 남양주시 별내4로 25,37.64662797,127.1142537,38.0,5.0,,5.0,,,,Y,점자블럭+경사로,,,,,Y,양호,제한없음,,정기점검,2022-06-15,경기도 남양주시청,2022-08-22,3990000,경기도 남양주시
별내3육교(대원칸타빌 앞 육교),시도,대로2-3호선,불암로,경기도 남양주시 불암로 336,37.66167002,127.1267984,38.0,5.0,,5.0,,,,Y,점자블럭+경사로,,,,,Y,양호,제한없음,,정기점검,2022-06-15,경기도 남양주시청,2022-08-22,3990000,경기도 남양주시
별내4육교(별내동 주민센터앞육교),시도,대로1-1호선,별내2로,경기도 남양주시 별내3로 64-21,37.64616615,127.1218825,52.5,5.0,,5.0,,,,Y,점자블럭+경사로+엘리베이터,,,,,Y,양호,제한없음,,정기점검,2022-06-15,경기도 남양주시청,2022-08-22,3990000,경기도 남양주시
진접지구보도육교1.2(풍양육교),시도,대로2-1호선,해밀예당1로,경기도 남양주시 진접읍 해밀예당1로 109,37.71884601,127.1910173,46.0,5.9,,5.0,,,,Y,엘리베이터+점자블럭,,,,,N,양호,제한없음,,정기점검,2022-06-15,경기도 남양주시청,2022-08-22,3990000,경기도 남양주시
진접지구보도육교1.2(진접육교),시도,대로2-1호선,해밀예당1로,경기도 남양주시 진접읍 해밀예당1로 53,37.7148201,127.1869758,40.0,5.2,,5.0,,,,Y,엘리베이터+점자블럭,,,,,N,양호,제한없음,,정기점검,2022-06-15,경기도 남양주시청,2022-08-22,3990000,경기도 남양주시
다산육교,시도,대로지금1-1호선,다산지금로,경기도 남양주시 다산지금로 141,37.60023437,127.1743068,55.6,4.5,,5.0,,,,Y,엘리베이터+점자블럭,,,,,Y,양호,제한없음,,정기점검,2022-06-28,경기도 남양주시청,2022-08-22,3990000,경기도 남양주시
도농보도육교,기타,비법정도로,경춘로,경기도 남양주시 경춘로 367-18,37.60577935,127.1551897,23.0,4.0,,4.0,,,,Y,엘리베이터+점자블럭,,,,,N,양호,제한없음,,정기점검,2022-06-28,경기도 남양주시청,2022-08-22,3990000,경기도 남양주시
장승보도육교(의정부국토관리사무소육교현장),시도,23호선,금강로,경기도 남양주시 진접읍 금강로 1573,37.72960264,127.1941977,43.6,5.0,,5.0,,,,Y,엘리베이터+점자블럭,,,,,N,양호,제한없음,,정기점검,2022-06-15,경기도 남양주시청,2022-08-22,3990000,경기도 남양주시
풍동육교,기타,,숲속마을로,경기도 고양시 일산동구 숲속마을1로 101,37.67083031,126.7996206,83.5,83.5,,4.6,4.0,,,Y,점자블럭+경사로,2.0,없음,,2006-09-25,N,양호,제한없음,,정기점검,2022-05-16,경기도 고양시청,2022-11-10,3940000,경기도 고양시
풍동육교,기타,,숲속마을로,경기도 고양시 일산동구 숲속마을1로 101,37.67083031,126.7996206,83.5,83.5,,4.6,4.0,,,Y,점자블럭+경사로,2.0,없음,,2006-09-25,N,양호,제한없음,,정기점검,2022-05-16,경기도 고양시청,2022-11-10,3940000,경기도 고양시
암센터앞육교(샵6),기타,,율천로,경기도 고양시 일산동구 율천로8번길 8-24,37.66523698,126.7841658,67.9,26.5,,4.5,7.9,,,Y,점자블럭+경사로,1.0,없음,,1994-07-01,N,양호,제한없음,,정기점검,2022-05-16,경기도 고양시청,2022-11-10,3940000,경기도 고양시
지상경사로10,기타,,고봉로,경기도 고양시 일산서구 고봉로 133,37.67288456,126.771578,78.4,29.4,,4.5,5.4,,,Y,점자블럭+경사로,2.0,없음,,1993-06-09,Y,양호,제한없음,교대 단면 보수,정기점검,2022-06-17,경기도 고양시청,2022-11-10,3940000,경기도 고양시
지상경사로11,기타,,일산로,경기도 고양시 일산서구 일산로 551 (일산동),37.67787683,126.7666731,84.0,21.0,,4.5,7.9,,,Y,점자블럭+경사로,2.0,없음,,1993-05-17,N,보통,제한없음,계단판석 보수,정기점검,2022-06-17,경기도 고양시청,2022-11-10,3940000,경기도 고양시
