철도운영기관명,운영노선명,역명,승강기 상태,엘리베이터 수
코레일,수인선,사리,운행,4
코레일,수인선,소래포구,운행,2
코레일,수인선,송도,운행,3
코레일,수인선,숭의,운행,4
코레일,수인선,신포,운행,4
코레일,수인선,안산,운행,2
코레일,수인선,야목,운행,3
코레일,수인선,어천,운행,2
코레일,수인선,연수,운행,8
코레일,수인선,오목천,운행,4
코레일,수인선,원인재,운행,3
코레일,수인선,월곶,운행,2
코레일,수인선,인천,운행,4
코레일,수인선,인천논현,운행,4
코레일,수인선,인하대,운행,4
코레일,수인선,중앙,운행,2
코레일,수인선,호구포,운행,2
