육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
원대보도 육교,기타,,경부선(철도),대구광역시 서구 달서로42길15-31,35.88096511,128.5742989,30.0,6.3,,5.5,4.0,1.5,42.0,Y,엘리베이터+점자블럭,1.0,엘리베이터,2.0,2016-01-01, ,양호,사용제한,,정기점검,2020-12-21,대구광역시 서구청,2022-06-10,3430000,대구광역시 서구
금오벽산아파트앞 육교,시도,,금오로,경기도 의정부시 금오로80번길 15,37.75451516,127.0747778,43.0,5.0,,4.5,3.0,,,Y,엘리베이터,2.0,,,,N,양호,제한없음,,정기점검,2021-11-09,경기도 의정부시청,2022-05-31,3820000,경기도 의정부시
가수원보도육교,일반국도,4,계백로,대전광역시 서구 가수원로 106,36.30443775,127.3510038,45.3,4.8,0.0,4.0,4.0,1.5,0.0,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,2021-12-20,대전광역시,2023-01-05,6300000,대전광역시
용소보도육교,구도,,원도안로,대전광역시 서구 원도안로 160,36.3168958,127.3453566,29.0,5.0,0.0,5.0,5.0,1.1,0.0,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,2021-12-20,대전광역시,2023-01-05,6300000,대전광역시
노곡보도육교,구도,,구봉산북로,대전광역시 서구 구봉산북로 212,36.29382956,127.3434609,34.9,5.0,0.0,4.0,4.0,1.1,0.0,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,2021-12-20,대전광역시,2023-01-05,6300000,대전광역시
선암보도육교,구도,,구봉로,대전광역시 서구 구봉로 122,36.29636057,127.3361545,47.5,5.0,0.0,4.0,4.0,1.1,0.0,Y,엘리베이터,,,,,N,양호,제한없음,,정기점검,2021-12-20,대전광역시,2023-01-05,6300000,대전광역시
한남육교,특별시도,,한남로,대전광역시 대덕구 한남로67번길 23-3,36.35130671,127.4195759,87.0,0.0,0.0,5.0,2.0,0.0,0.0,Y,엘리베이터+점자블럭,,,,,N,보통,제한없음,,정기점검,1900-01-01,대전광역시,2023-01-05,6300000,대전광역시
한남육교,특별시도,,한남로67번길,대전광역시 대덕구 한남로67번길 23-4,36.35117327,127.4195789,77.0,0.0,0.0,5.0,2.0,0.0,0.0,Y,엘리베이터+점자블럭,,,,,N,보통,제한없음,,정기점검,1900-01-01,대전광역시,2023-01-05,6300000,대전광역시
대덕테크노밸리보도육교,특별시도,,테크노중앙로,대전광역시 유성구 테크노중앙로 74,36.42488716,127.3936858,25.0,0.0,0.0,5.0,4.0,0.0,0.0,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,1900-01-01,대전광역시,2023-01-05,6300000,대전광역시
대덕테크노밸리보도육교,특별시도,,테크노중앙로,대전광역시 유성구 테크노중앙로 71,36.42568565,127.3942039,25.0,0.0,0.0,5.0,4.0,0.0,0.0,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,1900-01-01,대전광역시,2023-01-05,6300000,대전광역시
중앙철도시장육교,특별시도,,대흥로,대전광역시 동구 중앙로200번길 99,36.32646081,127.4341228,6.5,0.0,0.0,4.0,2.0,0.0,0.0,Y,엘리베이터+경사로,,,,,N,보통,제한없음,,정기점검,1900-01-01,대전광역시,2023-01-05,6300000,대전광역시
문화육교,기타,,계백로1654번길,대전광역시 중구 계백로1654번길 130,36.31386988,127.4025105,50.0,0.0,0.0,4.0,1.5,0.0,0.0,Y,엘리베이터,,,,,N,보통,제한없음,,정기점검,1900-01-01,대전광역시,2023-01-05,6300000,대전광역시
화정초교앞 도육교,시도,광로2-3호선,한밭대로,대전광역시 대덕구 한밭대로 1026,36.358064,127.4124963,44.0,,0.5,4.5,4.0,,,Y,엘리베이터,2.0,엘리베이터,2.0,,N,양호,제한없음,,정기점검,2022-05-30,대전광역시 대덕구청,2022-05-31,3680000,대전광역시 대덕구
읍내동보도육교,시도,대로1-2호선,계족로,대전광역시 대덕구 계족로741번길 26,36.377602,127.426872,30.6,,0.5,4.5,4.0,,,Y,엘리베이터,2.0,엘리베이터,2.0,,N,양호,제한없음,,정기점검,2022-05-30,대전광역시 대덕구청,2022-05-31,3680000,대전광역시 대덕구
와동보도육교,시도,대로1-2호선,신탄진로,대전광역시 대덕구 신탄진로188,36.39704069,127.4230697,31.5,,0.5,4.5,4.0,,,Y,엘리베이터,2.0,엘리베이터,2.0,,Y,양호,제한없음,,정기점검,2022-05-30,대전광역시 대덕구청,2022-05-31,3680000,대전광역시 대덕구
신영로타리 보도육교,특별시도,4901번,세검정로9길 1 앞,서울특별시 종로구 세검정로,37.603668,126.961852,111.0,4.7,,4.5,4.0,1.2,14.0,Y,엘리베이터,3.0,없음,0.0,1992-12-28,N,보통,제한없음,,정기점검,2022-03-17,서울특별시 종로구청 도로과,2022-05-24,3000000,서울특별시 종로구
세검 보도육교,특별시도,4901번,세검정로 265 앞,서울특별시 종로구 세검정로,37.602095,126.961137,25.0,4.8,,4.5,3.5,1.2,,Y,엘리베이터,2.0,없음,0.0,2018-05-21,Y,양호,제한없음,신설,정기점검,2022-03-17,서울특별시 종로구청 도로과,2022-05-24,3000000,서울특별시 종로구
서울예고앞 보도육교,특별시도,4901번,평창문화로 65 앞,서울특별시 종로구 평창문화로,37.606153,126.968444,27.0,5.0,,4.7,3.5,1.2,83.0,Y,엘리베이터,2.0,없음,0.0,2018-05-21,Y,양호,제한없음,신설,정기점검,2022-03-17,서울특별시 종로구청 도로과,2022-05-24,3000000,서울특별시 종로구
고척교앞 보도육교,시도,,경인로,서울특별시 구로구 경인로 482,37.4982869,126.8727319,38.0,4.5,,4.5,4.0,1.5,11.0,Y,엘리베이터,2.0,,,2004-02-28, ,보통,제한없음,,정밀점검,2023-01-06,서울특별시 구로구청,2023-01-27,3160000,서울특별시 구로구
구일역앞 보도육교,시도,,서부간선도로,서울특별시 구로구 구일로 110,37.49507493,126.8720091,68.0,4.5,,4.5,3.7,1.5,4.0,Y,엘리베이터,1.0,,,1995-01-01, ,보통,제한없음,,정밀점검,2023-01-06,서울특별시 구로구청,2023-01-27,3160000,서울특별시 구로구
문현교차로육교,시도,,전포대로,부산광역시 남구 전포대로 10,35.1377825,129.0683281,83.0,4.5,,4.8,3.0,,,Y,엘리베이터,,,,1999-09-01, ,양호,제한없음,2020.10. 정비공사,정기점검,2019-03-14,부산광역시 남구청,2023-01-20,3310000,부산광역시 남구
대천중학교앞,시도,,신선로,부산광역시 남구 신선로 491,35.1285448,129.1033023,33.0,4.8,,4.8,2.5,,,Y,엘리베이터,,,,1995-01-01, ,양호,제한없음,2020.01. 정비공사,정기점검,2019-03-14,부산광역시 남구청,2023-01-20,3310000,부산광역시 남구
