역명,미운행,운행
가산디지털단지,0,4
강동,0,1
건대입구,0,3
고속터미널,0,5
광나루,0,1
광명사거리,0,1
광흥창,0,1
교대,0,1
구산,0,1
까치산,0,3
남구로,0,11
논현,0,1
답십리,0,1
대림,0,1
대흥,0,1
동대문,0,1
동대문역사문화공원,0,2
동묘앞,0,2
디지털미디어시티,0,3
마들,0,1
마천,0,1
모란,0,2
반포,0,1
복정,0,1
봉화산,0,2
불광,0,2
사당,0,1
삼각지,0,2
삼성,0,1
상계,0,2
상월곡,0,2
상일동,0,2
새절,0,1
샛강,1,0
서대문,0,1
서울역,0,1
석계,0,2
수락산,0,2
신당,0,5
신설동,0,11
신정네거리,0,1
어린이대공원,0,1
영등포구청,0,1
온수,0,5
용답,0,2
월곡,0,1
이수,0,3
이촌,0,1
잠실,0,4
장한평,0,1
종로3가,0,1
창동,0,4
청담,0,2
청량리,0,2
한양대,0,1
합정,0,1
